date,origin_port,destination_port,transport_mode,product_category,distance_km,weight_mt,fuel_price_index,geopolitical_risk_score,weather_condition,carrier_reliability_score,lead_time_days,disruption
2024-02-09,Busan,Rotterdam,Sea,Pharmaceuticals,8354.72,38.5,3.23,6.9,Hurricane,0.727,124.38,1
2024-11-01,Dubai,Marseille,Sea,Automotive,13975.95,72.98,2.65,7.6,Rain,0.637,32.11,0
2025-12-22,Busan,Rotterdam,Sea,Perishables,9747.73,12.71,2.48,5.1,Clear,0.944,16.3,0
2024-05-18,Busan,Marseille,Sea,Perishables,6626.95,259.68,1.63,4.2,Rain,0.563,12.55,1
2025-06-30,Los Angeles,Marseille,Air,Pharmaceuticals,4261.64,111.01,3.98,2.0,Fog,0.717,0.5,0
2024-12-28,Dubai,Rotterdam,Rail,Automotive,6194.6,33.88,1.81,4.5,Storm,0.541,17.03,1
2025-04-20,Antwerp,Los Angeles,Sea,Textiles,8686.56,413.54,2.54,5.0,Storm,0.521,45.35,1
2025-08-02,Hamburg,Shanghai,Sea,Perishables,2635.5,12.23,4.04,9.0,Rain,0.738,6.51,0
2024-12-31,Shanghai,Marseille,Air,Pharmaceuticals,2903.73,465.01,3.35,2.0,Fog,0.734,0.5,0
2025-02-22,Rotterdam,Dubai,Rail,Pharmaceuticals,9154.22,288.32,3.08,1.6,Clear,0.629,6.86,0
2025-01-11,Dubai,Singapore,Road,Automotive,14468.72,362.07,3.83,4.6,Rain,0.609,12.39,1
2024-08-27,Singapore,Dubai,Sea,Textiles,4662.05,71.95,1.48,6.5,Clear,0.793,8.62,0
2025-12-21,Shanghai,Hamburg,Rail,Automotive,11589.74,37.3,3.36,4.9,Hurricane,0.648,79.42,1
2025-02-09,Hamburg,Dubai,Air,Textiles,12217.75,350.73,2.82,0.1,Rain,0.851,0.61,0
2025-08-29,Busan,Rotterdam,Road,Pharmaceuticals,3159.91,488.03,1.41,2.6,Hurricane,0.666,17.59,1
2024-07-15,Hamburg,Busan,Rail,Automotive,13741.99,390.24,1.49,7.5,Storm,0.999,39.87,1
2024-02-15,Singapore,Antwerp,Air,Electronics,6712.64,247.43,4.27,5.4,Clear,0.654,0.79,0
2025-12-02,Hamburg,Busan,Road,Perishables,9727.82,95.38,4.21,7.9,Rain,0.508,9.32,1
2024-01-29,Singapore,Rotterdam,Sea,Automotive,14628.72,285.08,2.18,0.6,Hurricane,0.801,167.07,1
2025-04-06,Busan,Rotterdam,Air,Automotive,6055.51,311.65,4.03,8.1,Storm,0.985,1.58,1
2024-08-15,Busan,Marseille,Rail,Textiles,2506.39,266.46,1.87,2.6,Storm,0.905,5.91,1
2025-02-25,Hamburg,Antwerp,Road,Electronics,11678.37,272.52,1.76,3.0,Hurricane,0.506,63.95,1
2025-01-09,Busan,Antwerp,Sea,Textiles,5786.61,335.14,1.34,2.9,Clear,0.825,10.02,1
2024-04-28,Antwerp,Busan,Road,Automotive,8432.16,60.31,3.52,3.2,Hurricane,0.85,46.78,1
2025-04-29,Hamburg,Shanghai,Air,Automotive,12420.5,155.61,3.22,5.3,Storm,0.746,2.96,1
2024-07-15,Hamburg,Dubai,Sea,Textiles,1595.96,240.84,3.91,4.1,Storm,0.608,7.86,1
2025-11-08,Shanghai,Antwerp,Air,Electronics,12477.98,448.23,2.53,3.6,Clear,0.513,1.61,1
2024-10-25,Hamburg,Singapore,Sea,Textiles,8423.65,322.13,1.81,7.6,Rain,0.654,19.48,0
2025-07-11,Hamburg,Rotterdam,Road,Automotive,675.5,470.33,4.37,6.3,Storm,0.572,2.11,1
2024-06-20,Shanghai,Antwerp,Rail,Perishables,14642.48,356.59,3.67,9.0,Storm,0.749,44.25,1
2024-12-22,Busan,Los Angeles,Road,Perishables,3671.38,79.01,4.01,6.5,Rain,0.511,2.59,1
2025-08-06,Singapore,Hamburg,Air,Electronics,10174.58,450.05,2.7,7.6,Fog,0.695,0.75,1
2025-03-31,Busan,Hamburg,Rail,Electronics,11741.04,132.64,3.72,6.8,Fog,0.772,16.97,1
2024-10-22,Busan,Marseille,Air,Electronics,4664.97,120.18,2.96,0.6,Rain,0.806,0.59,0
2024-08-08,Dubai,Hamburg,Road,Automotive,10421.38,364.09,3.06,8.7,Rain,0.947,10.49,1
2024-12-26,Singapore,Los Angeles,Air,Electronics,10054.4,334.96,2.99,0.1,Storm,0.652,1.32,0
2025-04-08,Hamburg,Los Angeles,Road,Automotive,14049.28,409.73,3.36,1.5,Storm,0.58,26.77,0
2025-02-14,Rotterdam,Dubai,Sea,Electronics,8122.51,494.02,3.76,0.3,Storm,0.859,34.48,0
2025-09-08,Busan,Dubai,Rail,Electronics,4722.82,429.11,2.06,6.9,Fog,0.621,7.6,0
2025-07-07,Shanghai,Hamburg,Road,Electronics,6211.03,133.35,1.98,0.4,Rain,0.86,4.42,0
2025-06-22,Rotterdam,Shanghai,Sea,Textiles,2029.51,454.55,1.37,0.4,Clear,0.776,3.29,0
2025-02-09,Rotterdam,Antwerp,Road,Electronics,14133.34,426.81,1.53,4.0,Clear,0.712,9.05,0
2025-10-23,Los Angeles,Shanghai,Air,Automotive,3264.97,381.42,3.04,2.9,Fog,0.69,0.5,1
2025-07-31,Shanghai,Antwerp,Rail,Pharmaceuticals,6549.3,44.92,3.44,7.2,Fog,0.787,8.91,1
2024-02-29,Busan,Marseille,Sea,Perishables,7157.3,471.84,2.51,5.4,Storm,0.647,38.58,1
2024-09-01,Dubai,Marseille,Air,Pharmaceuticals,11762.3,1.12,4.07,3.8,Clear,0.953,1.12,1
2024-02-16,Singapore,Los Angeles,Air,Electronics,11899.98,81.66,3.89,0.6,Storm,0.53,1.25,1
2025-12-27,Shanghai,Rotterdam,Air,Electronics,14460.75,255.05,4.44,0.8,Hurricane,0.871,6.21,1
2025-12-26,Dubai,Antwerp,Road,Electronics,2681.04,322.31,3.53,6.1,Rain,0.748,2.51,0
2025-09-21,Singapore,Hamburg,Sea,Perishables,4569.91,39.92,2.55,8.1,Storm,0.921,27.38,1
2024-01-16,Los Angeles,Busan,Road,Electronics,1115.12,238.2,2.14,8.8,Hurricane,0.704,6.93,1
2024-03-09,Busan,Singapore,Sea,Electronics,3807.16,380.74,3.2,9.5,Clear,0.72,7.45,1
2025-10-23,Busan,Singapore,Road,Pharmaceuticals,10606.73,146.15,2.75,1.8,Rain,0.798,9.14,0
2025-03-05,Los Angeles,Rotterdam,Air,Electronics,4943.28,296.37,4.38,0.2,Rain,0.612,0.7,0
2025-02-13,Antwerp,Shanghai,Rail,Textiles,7223.63,237.74,3.22,3.9,Hurricane,0.861,48.31,1
2024-03-08,Dubai,Shanghai,Rail,Pharmaceuticals,14933.84,266.43,4.26,2.3,Clear,0.855,12.03,0
2025-12-26,Antwerp,Dubai,Air,Electronics,13575.72,38.18,2.16,8.3,Storm,0.974,2.8,1
2024-11-07,Rotterdam,Singapore,Road,Textiles,1565.7,207.42,1.76,3.1,Clear,0.522,1.07,0
2025-10-02,Shanghai,Busan,Air,Automotive,9320.63,30.98,4.41,2.2,Clear,0.755,0.6,0
2025-10-16,Los Angeles,Hamburg,Rail,Electronics,5457.63,135.76,2.45,4.3,Hurricane,0.985,35.78,1
2025-08-28,Los Angeles,Dubai,Air,Pharmaceuticals,1719.85,431.92,1.51,4.1,Fog,0.674,0.5,0
